time,LAK1_STAGE,LAK2_STAGE,LAK1_TO-MVR,LAK1_FROM-MVR,LAK2_TO-MVR,LAK2_FROM-MVR
42748800.00000,1041.257959,1001.418945,-32.91435422,31.22706147,-188.2584796,176.8170101
42924000.00000,1041.257976,1001.418944,-32.91506275,31.22706147,-188.2583668,176.8183227
43099200.00000,1041.257992,1001.418945,-32.91576962,31.22706147,-188.2584315,176.8199146
43274400.00000,1041.258008,1001.418946,-32.91647541,31.22706147,-188.2586922,176.8217561
43449600.00000,1041.258024,1001.418948,-32.91717705,31.22706147,-188.2591365,176.8237567
43624800.00000,1041.258040,1001.418951,-32.91787473,31.22706147,-188.2597652,176.8258981
43800000.00000,1041.258056,1001.418954,-32.91856792,31.22706147,-188.2605596,176.8281254
43975200.00000,1041.258072,1001.418964,-32.91925794,31.22706147,-188.2626917,176.8406798
44150400.00000,1041.258088,1001.418982,-32.91994679,31.22706147,-188.2665875,176.8581489
44325600.00000,1041.258103,1001.419005,-32.92063591,31.22706147,-188.2718713,176.8740487
44500800.00000,1041.258119,1001.419034,-32.92132604,31.22706147,-188.2782836,176.8890127
44676000.00000,1041.258135,1001.419067,-32.92201791,31.22706147,-188.2856024,176.9031001
44851200.00000,1041.258152,1001.419105,-32.92273999,31.22706147,-188.2939895,176.9164891
45026400.00000,1041.258170,1001.419152,-32.92354532,31.22706147,-188.3043993,176.9294883
45201600.00000,1041.258191,1001.419212,-32.92445885,31.22706147,-188.3176313,176.9422110
45376800.00000,1041.258215,1001.419284,-32.92548602,31.22706147,-188.3334950,176.9548987
45552000.00000,1041.258241,1001.419366,-32.92662013,31.22706147,-188.3515220,176.9675681
45727200.00000,1041.258269,1001.419453,-32.92785386,31.22706147,-188.3709515,176.9769087
45902400.00000,1041.258299,1001.419546,-32.92918495,31.22706147,-188.3914801,176.9853872
46077600.00000,1041.258332,1001.419643,-32.93061338,31.22706147,-188.4129969,176.9942324
46252800.00000,1041.258367,1001.419745,-32.93214037,31.22706147,-188.4354673,177.0036716
46428000.00000,1041.258404,1001.419851,-32.93376222,31.22706147,-188.4588403,177.0136528
46603200.00000,1041.258444,1001.419960,-32.93547619,31.22706147,-188.4830437,177.0241274
46778400.00000,1041.258485,1001.420074,-32.93728071,31.22706147,-188.5082936,177.0373030
46953600.00000,1041.258528,1001.420208,-32.93916651,31.22706147,-188.5377763,177.0807254
