rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
216,958,0,27,13,71,6,1028.3943,3.361283,0.001,32.34591532154427,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.5141972,17956913,None
217,959,0,27,14,72,1,642.2941,6.682981,0.0003546572490962726,32.69766102539592,1,1.0,0.0,0.0,0.0,0.0,218,0,-0.8841048,17956919,Turkey Bayou
218,958,0,27,13,72,2,390.03632,6.7162113,0.00031848930313682633,32.46986675670051,1,1.0,0.0,0.0,0.0,0.0,219,0,-0.36793956,17956919,Turkey Bayou
219,959,0,27,14,72,3,172.9214,6.734333,0.001,32.34564436224574,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.086460695,17956919,Turkey Bayou
220,886,0,25,11,73,1,116.209755,25.237219,0.00040885214969595216,29.66575966020254,1,1.0,0.0,0.0,0.0,0.0,221,0,-2.910668,17956955,None
221,921,0,26,11,73,2,184.1076,25.239447,0.00044467215276503864,29.618247052078107,1,1.0,0.0,0.0,0.0,0.0,222,0,-2.7605093,17956955,None
222,920,0,26,10,73,3,333.36008,25.243288,0.0005744019883216158,29.536379527031027,1,1.0,0.0,0.0,0.0,0.0,223,0,-2.5017755,17956955,None
223,921,0,26,11,73,4,876.96234,25.25227,0.0004212619574721231,29.344896836030152,1,1.0,0.0,0.0,0.0,0.0,224,0,-1.8966143,17956955,None
224,956,0,27,11,73,5,1458.133,25.269598,0.001,28.975465963501158,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.72906655,17956955,None
225,382,3,10,32,74,1,1370.5671,3.0025442,0.001,37.34619140625,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.6852836,18022216,None
226,306,3,8,26,75,1,632.4843,3.7133913,0.0001,36.60841280998468,1,1.0,0.0,0.0,0.0,0.0,227,0,-4.6593904,18047170,None
227,271,3,7,26,75,2,1129.0331,3.774935,0.0001,36.602960114946725,1,1.0,0.0,0.0,0.0,0.0,228,0,-3.778632,18047170,None
228,236,3,6,26,75,3,57.912148,3.8164043,0.0001,36.59928598051519,1,1.0,0.0,0.0,0.0,0.0,229,0,-3.1851592,18047170,None
229,237,3,6,27,75,4,1028.5258,3.8543622,0.0001,36.59592296337832,1,1.0,0.0,0.0,0.0,0.0,230,0,-2.6419404,18047170,None
230,202,3,5,27,75,5,1017.33453,3.9258404,0.0001,36.58959009708648,1,1.0,0.0,0.0,0.0,0.0,231,0,-1.6190101,18047170,None
231,167,3,4,27,75,6,1110.3428,4.000177,0.001,36.58300397037386,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.55517143,18047170,None
232,906,3,25,31,76,1,94.49058,73.41919,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,233,0,-1.5962735,18022256,Yalobusha River
233,941,3,26,31,76,2,850.6508,73.41919,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,0,0,-1.1237028,18022256,Yalobusha River
234,240,3,6,30,77,1,199.49402,69.46032,0.00012513420155366538,36.42552375793457,1,1.0,0.0,0.0,0.0,0.0,0,0,-0.104511745,18050378,Tallahatchie River
