rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
44,390,0,11,5,19,6,827.8507,19.941067,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,54,24,-0.43353823,17957903,None
45,332,3,9,17,20,1,451.77704,5.153628,0.0005220704096415001,37.54048332900244,1,2.5622952,0.0,0.0,0.0,0.0,46,25,-2.7001216,17955819,None
46,296,3,8,16,20,2,1103.2919,5.1889067,0.00017092314967969476,37.304623905407375,1,1.0,0.0,0.0,0.0,0.0,47,25,-1.9096242,17955819,None
47,295,3,8,15,20,3,140.0418,5.2166505,0.001470749754225759,37.116045783950945,1,1.0,0.0,0.0,0.0,0.0,48,25,-1.2879574,17955819,None
48,330,3,9,15,20,4,1217.9365,5.246953,0.00020985919956266556,36.91007935010408,1,1.1015497,0.0,0.0,0.0,0.0,62,25,-0.60896826,17955819,None
49,259,3,7,14,21,1,307.98782,3.2412798,0.000974619347266304,37.25560216573712,1,1.0,0.0,0.0,0.0,0.0,50,25,-1.858219,17955821,None
50,294,3,8,14,21,2,1010.96204,3.2869122,0.00029768388654707585,36.95543127424491,1,1.0,0.0,0.0,0.0,0.0,62,25,-1.198744,17955821,None
51,328,3,9,13,22,1,367.43936,4.05738,0.0008918676791924555,36.70667266845703,1,1.0,0.0,0.0,0.0,0.0,65,26,-0.7316472,17955809,None
52,361,3,10,11,23,1,1043.7516,19.718868,1.3807812558293967e-05,33.4746532907256,1,1.8641529,0.0,0.0,0.0,0.0,53,27,-1.4746667,17955907,None
53,396,3,11,11,23,2,60.352333,19.725721,0.008952878726895505,33.46024136445607,1,1.0,0.0,0.0,0.0,0.0,66,27,-0.92261475,17955907,None
54,426,3,12,6,24,1,408.78516,22.024101,1e-05,32.91991424560547,1,1.3442281,0.0,0.0,0.0,0.0,55,27,-6.5830154,17955933,None
55,391,3,11,6,24,2,1011.4173,22.032017,1e-05,32.91991424560547,1,1.466183,0.0,0.0,0.0,0.0,56,27,-5.8729143,17955933,None
56,392,3,11,7,24,3,750.88696,22.041838,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,57,27,-4.991762,17955933,None
57,357,3,10,7,24,4,585.7987,22.049288,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,58,27,-4.3234196,17955933,None
58,358,3,10,8,24,5,1303.6846,22.059818,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,59,27,-3.3786778,17955933,None
59,393,3,11,8,24,6,361.3985,22.069098,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,60,27,-2.5461361,17955933,None
60,359,3,10,9,24,7,660.79047,22.077944,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,61,27,-1.7524679,17955933,None
61,394,3,11,9,24,8,1019.84735,22.08731,1e-05,32.91991424560547,1,1.2768912,0.0,0.0,0.0,0.0,66,27,-0.912149,17955933,None
62,329,3,9,14,25,1,363.17252,6.3041654,0.0004617182637017549,36.65448416617735,1,1.6684948,0.0,0.0,0.0,0.0,63,28,-1.6259731,17955905,None
63,364,3,10,14,25,2,496.13037,6.320061,0.0004332165522349235,36.48680078272605,1,1.0,0.0,0.0,0.0,0.0,64,28,-1.1963216,17955905,None
64,365,3,10,15,25,3,605.29987,6.3404355,0.0014921501130933025,36.27186889390178,1,1.0,0.0,0.0,0.0,0.0,68,28,-0.64560646,17955905,None
65,327,3,9,12,26,1,595.67303,4.304224,0.0008488909709351245,36.37896537780762,1,1.872621,0.0,0.0,0.0,0.0,70,29,-0.3741283,17955829,None
66,395,3,11,10,27,1,671.19965,22.756369,1e-05,32.91991424560547,1,2.7347403,0.0,0.0,0.0,0.0,67,30,-3.0762863,17955969,None
67,430,3,12,10,27,2,1238.3945,22.76669,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,73,30,-2.1214893,17955969,None
68,400,3,11,15,28,1,812.9935,6.5615735,0.0005508410381134176,35.36867063080836,1,1.4087548,0.0,0.0,0.0,0.0,69,31,-1.2161764,17955951,None
69,399,3,11,14,28,2,55.261,6.5770626,0.012771189537359107,34.92084043061305,1,1.0,0.0,0.0,0.0,0.0,74,31,-0.7820491,17955951,None
70,326,3,9,11,29,1,187.67647,19.249186,0.002337904092940079,35.87330391704845,1,3.017026,0.0,0.0,0.0,0.0,71,33,-3.1665862,17955973,None
71,362,3,10,12,29,2,275.06476,19.263844,0.004431022849060766,35.43453433460701,1,1.0,0.0,0.0,0.0,0.0,72,33,-2.011585,17955973,None
72,397,3,11,12,29,3,1010.342,19.272001,0.0012825378789313002,34.21571610560487,1,1.0,0.0,0.0,0.0,0.0,80,33,-1.3688817,17955973,None
73,431,3,12,11,30,1,156.36179,22.796528,1e-05,32.91991424560547,1,10.601463,0.0,0.0,0.0,0.0,80,33,-0.22977531,17955975,None
74,434,3,12,14,31,1,930.7356,7.2489877,0.0010596046624695426,34.215091705322266,1,1.737044,0.0,0.0,0.0,0.0,83,34,-1.1444061,17956025,None
75,616,3,17,21,32,1,161.49025,3.540155,0.0006770618647186941,36.48945874470336,1,5.128959,0.0,0.0,0.0,0.0,76,35,-3.1007922,17957969,None
76,615,3,17,20,32,2,737.7571,3.5685117,0.00029225026224334453,36.38011985515242,1,1.0,0.0,0.0,0.0,0.0,77,35,-2.6511683,17957969,None
77,580,3,16,20,32,3,1035.5045,3.6244297,0.0002379837251878907,36.164510155027706,1,1.0,0.0,0.0,0.0,0.0,78,35,-1.7645377,17957969,None
78,545,3,15,20,32,4,991.2617,3.6883416,0.00012977655972668943,35.91807693271798,1,1.0,0.0,0.0,0.0,0.0,79,35,-0.75115454,17957969,None
79,544,3,15,19,32,5,66.74693,3.721705,0.0008295473132622549,35.78943439706984,1,1.0,0.0,0.0,0.0,0.0,84,35,-0.22215022,17957969,None
