,rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name,geometry
569,58,14045,0,87,125,3,49,141.9396,6.8182573,0.008535695428578816,1285.184060162483,1,1.0,0.0,0.0,0.0,0.0,59,6,3102.5505,1815711,None,"LINESTRING (692289.2 5140870.804936076, 692247.1072161089 5140880.8)"
570,59,13885,0,86,125,3,50,115.01175,6.8614264,0.01517473201776905,1283.9725069188653,1,1.0,0.0,0.0,0.0,0.0,60,6,3141.71,1815711,None,"LINESTRING (692247.1072161089 5140880.8, 692213 5140888.898865738)"
571,60,13884,0,86,124,3,51,255.13408,6.9231462,0.008453321342629199,1282.227234444835,1,1.0,0.0,0.0,0.0,0.0,61,6,3198.12,1815711,None,"LINESTRING (692213 5140888.898865738, 692197.9642709038 5140892.469146902, 692136.8 5140904.368760996)"
572,61,13883,0,86,123,3,52,202.27318,6.9986734,0.006281662551919273,1280.0705040897656,1,1.0,0.0,0.0,0.0,0.0,62,6,3267.829,1815711,None,"LINESTRING (692136.8 5140904.368760996, 692135.7070957354 5140904.5813874, 692095.6302592094 5140885.600764889, 692080.162997073 5140880.8)"
573,62,14043,0,87,123,3,53,67.2036,7.042795,0.007195536210393554,1278.7998922416334,1,1.0,0.0,0.0,0.0,0.0,63,6,3308.8972,1815711,None,"LINESTRING (692080.162997073 5140880.8, 692060.6 5140874.72799135)"
574,63,14042,0,87,122,3,54,35.352493,7.0595155,0.010121695695805804,1278.316326318594,1,1.0,0.0,0.0,0.0,0.0,144,6,3324.5269,1815711,None,"LINESTRING (692060.6 5140874.72799135, 692050.3088724681 5140871.533807189)"
263,64,17720,0,110,120,4,1,205.67856,38.23001,0.002979971460107787,1297.5686180450741,1,1.0,0.0,0.0,0.0,0.0,65,6,95424.11,1814967,Tyler Forks,"LINESTRING (691832 5139076.435376981, 691849.2927261078 5139099.422071963, 691867.2591116717 5139128.2)"
264,65,17560,0,109,120,4,2,216.20222,38.24297,0.002235709976366524,1296.9557018112362,1,1.0,0.0,0.0,0.0,0.0,66,6,95488.41,1814967,Tyler Forks,"LINESTRING (691867.2591116717 5139128.2, 691873.5359529621 5139138.254024852, 691900.4809457532 5139172.114523337, 691908.2 5139179.629086947)"
265,66,17561,0,109,121,4,3,116.506584,38.253185,0.005232094716647603,1296.4723363404914,1,1.0,0.0,0.0,0.0,0.0,67,6,95539.11,1814967,Tyler Forks,"LINESTRING (691908.2 5139179.629086947, 691933.6449934184 5139204.4)"
266,67,17401,0,108,121,4,4,303.07346,38.266068,0.0026518058995749294,1295.862762857014,1,1.0,0.0,0.0,0.0,0.0,68,6,95603.055,1814967,Tyler Forks,"LINESTRING (691933.6449934184 5139204.4, 691959.7311406238 5139229.795081606, 691979.0525511531 5139263.407921684, 691979.5887307972 5139280.6)"
