lakeno,cellid,claktype,bedleak,belev,telev,connlen,connwidth,zone,iconn
1,"(np.int64(0), np.int64(36), np.int64(35))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,225
1,"(np.int64(0), np.int64(36), np.int64(44))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,226
1,"(np.int64(0), np.int64(28), np.int64(49))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,227
1,"(np.int64(0), np.int64(40), np.int64(32))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,228
1,"(np.int64(0), np.int64(42), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,229
1,"(np.int64(0), np.int64(39), np.int64(36))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,230
1,"(np.int64(0), np.int64(39), np.int64(45))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,231
1,"(np.int64(0), np.int64(31), np.int64(41))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,232
1,"(np.int64(0), np.int64(39), np.int64(54))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,233
1,"(np.int64(0), np.int64(31), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,234
1,"(np.int64(1), np.int64(32), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,235
1,"(np.int64(0), np.int64(43), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,236
1,"(np.int64(0), np.int64(32), np.int64(42))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,237
1,"(np.int64(0), np.int64(43), np.int64(42))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,238
1,"(np.int64(1), np.int64(35), np.int64(38))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,239
1,"(np.int64(0), np.int64(32), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,240
1,"(np.int64(0), np.int64(43), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,241
1,"(np.int64(0), np.int64(35), np.int64(47))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,242
1,"(np.int64(0), np.int64(36), np.int64(39))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,243
1,"(np.int64(0), np.int64(42), np.int64(37))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,244
