,b0,b1,b2,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
127,1,4,3,127,"(1, 4, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
128,1,4,4,128,"(1, 4, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
129,1,4,5,129,"(1, 4, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
130,1,4,6,130,"(1, 4, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
131,1,4,7,131,"(1, 4, 7)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
132,1,4,8,132,"(1, 4, 8)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
133,1,4,9,133,"(1, 4, 9)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
134,1,5,0,134,"(1, 5, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
135,1,5,1,135,"(1, 5, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
136,1,5,2,136,"(1, 5, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
137,1,5,3,137,"(1, 5, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
138,1,5,4,138,"(1, 5, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
139,1,5,5,139,"(1, 5, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
140,1,5,6,140,"(1, 5, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
141,1,5,7,141,"(1, 5, 7)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
142,1,5,8,142,"(1, 5, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
143,1,5,9,143,"(1, 5, 9)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
144,1,6,0,144,"(1, 6, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
145,1,6,1,145,"(1, 6, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
146,1,6,2,146,"(1, 6, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
147,1,6,3,147,"(1, 6, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
148,1,6,4,148,"(1, 6, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
149,1,6,5,149,"(1, 6, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
150,1,6,6,150,"(1, 6, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
